Proyecto/Cargo,Asignación,Tarjeta gráfica,Memoria,Almacenamiento,Procesador,Monitor,Teclado,Mouse,SO,SW relevante instalado,Mantenimiento
Proyectos Colivri,Disponible,NVIDIA GEFORCE GTX 260 896MB,12GB,HDD 1 TB/HDD (desconocido),INTEL CORE I7 930,DELL P2214H,DELL Y-U0008-O,DELL MOC5UO,Windows 10 enterprise,Sin información disponible,Necesita- está lento
Proyectos Colivri,Disponible,NVIDIA GEFORCE GTX 560TI 1GB ,12GB,HDD 2 TB,INTEL CORE I7 2600,DELL U2410,DELL KB522,HP M-SBF96,Windows 10 enterprise,Unity Hub- Unity 3d (con licencia institucional),Necesita- está lento
contraseña (demo),Computador especial para sistema de tracking - no es funcional para puesto de trabajo,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,Sin información disponible,No necesita
Proyectos Colivri,Disponible,NVIDIA QUADRO K2200 4GB,32GB,HDD 500 GB,INTEL CORE I7 4790,DELL P2214H,DELL SK8115,DELL MS111-L- logitech 720p,Windows 10 pro,Unity Hub- Unity 3d (sin licencia)- leap motion- Vive- Steam VR,Necesita- está lento
Róbotica profesor De La Rosa,Sin información disponible,INTEL HD GRAPHICS,10GB,HDD 1TB,INTEL CORE I7 2600,DELL P2214H,DELL SK8115,DELL M-UV-DEL1,Windows 10 pro,Sin información disponible,No necesita
Róbotica profesor De La Rosa,Sin información disponible,NVIDIA QUADRO K2200 4GB,32GB,HDD 500 GB,INTEL CORE I7 4790,DELL P2214H,DELL K216p,DELL M-SBF96,Ubuntu 16.04,Sin información disponible,No necesita
Demos/Visitas/Curso realidad Mixta,Disponible,NVIDIA GEFORCE GTX 560 6GB,16GB,HDD 500 GB,INTEL XEON W3680,SAMSUNG UUN55ES7000M,DELL KB522,HP TPC-002M,Windows 10 enterprise,Unity Hub- Unity 3d (con licencia institucional)- OptiTrack- Motive,No necesita
"Demos/Visitas/Curso realidad Mixta
- Vive Pro",Disponible,NVIDIA GEFORCE GTX 1080 8GB,16GB,HDD 2 TB,INTEL CORE I7 6700,DELL P2214H,DELL KB522,DELL N889,Windows 10 home,Unity Hub- Unity 3d (con licencia institucional)- SideQuest- Oculus- SteamVR- PropagationVR- Vive- VR chat,No necesita
"Demos/Visitas/Curso realidad Mixta
 - Omen",Disponible,NVIDIA GEFORCE GTX 1080 8GB,16GB,SSD 1TB,INTEL CORE I7 7820HK,DELL U2410,DELL L30U,DELL N889,Windows 10 home,Unity Hub- Unity 3d (con licencia institucional)- SideQuest- VIVE- Oculus- SteamVR- ,No necesita
Proyecto Tesis + Armada,Nicolás Enrique Rueda,NVIDIA GEFORCE GTX 1660 SUPER 6GB,16GB,SSD 500GB/HDD 1TB,INTEL CORE I7 10700F,DELL P2214H,DELL SK8115,GENIUS DX-120,Windows 11 enterprise,Unity Hub- Unity 3d (con licencia personal)- Meta Quest- OptiTrack- Oculus- SideQuest- SteamVR,No necesita
"Demos/Visitas/Curso realidad Mixta
- Oculus Rift S y Timón Logitech",Disponible,NVIDIA QUADRO K5200 8GB,32GB,HDD 2TB/HDD 2TB,INTEL XEON E5-1650 v3,DELL P2214H/DELL P2214H,DELL KB212-B,DELL N889,Windows 10 pro,Unity Hub- Unity 3d (con licencia institucional)- Leap Motion- Oculus- SketchUp- Vegas Pro 16- ,Necesita- está lento
Róbotica profesor De La Rosa + RM,Sin información disponible,NVIDIA GEFORCE GTX 1080 8GB,16GB,HDD 2TB,INTEL CORE I7 6700,ASUS VG278HV,DELL L30U,DELL N889,Windows 10 home,Unity Hub- Unity 3d (con licencia institucional)- Oculus- Omni Connect- SideQuest- VIVE- Surgeon Simulator VR,Necesita- está MUY lento
"Demos/Visitas/Curso realidad Mixta
/Investigación con OMNI + Oculus Quest
Curso Realidad Mixta",Disponible,NVIDIA GEFORCE GTX 1660 SUPER 6GB,16GB,SSD 500GB/HDD 1TB,INTEL CORE I7 10700F,LG 42LE4300/DELL P2214H (desconectado),HP TPC-C003K,DELL N889,Windows 11 home,Unity Hub- Unity 3d (con licencia institucional)- Battle talent demo- Oculus- Omni connect- SideQuest- SteamVR- ,No necesita
Puesto SinfonIA,Sin información disponible,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper,Mesa libre y espacio para robot Peper
